#     FILENAME=Skynet_58800_messier_31_43924_53537.A.onoff.cal.txt
#     BASENAME=Skynet_58800_messier_31_43924_53537
#      CONTROL=SKYNET
#     PROJCODE=Skynet_58800_messier_31_43924
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#     SRC_NAME=messier_31
#     OBSERVER=haverford2_26746
#     DATE_OBS=2019-11-13T01:37:46.860
#        OBSID=43924
#      SCANNUM=53537
#     SCANNAME=2019_11_10_20:25:25
#          MJD=58800.0679035
#          UTC=05867
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8800,
# Actual_FREQ2=1390.6300
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.9999
#         TBIN=0.00419430
#     DURATION=444.00
#     EXPOSURE=401.98
#        FOCUS=36.851
#       RA,DEC=00:42:59.56, 41:16:07.48
#      RA(deg)=12.66557
#     DEC(deg)=41.26871
#   WIDTH(deg)=3.0161x0.0044
#    AZIM(deg)=70.6292
#    ELEV(deg)=77.6697
#     COORDREF=RA_DEC_
#         HREF=10.6846
#         VREF=41.2687
#     IFattens=5.00, 0.00
#   BALANCELEV=1.2 
#       ACCLEN=2048 
#      WARNING=None 
#         TSYS=XX1:57.29, YY1:29.15
#         TSYS=XX2:59.42, YY2:38.63
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.14, YY2:9.87
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1426.16772       0.1825      -0.0493    1394.91772       0.3381      -0.0659
   1426.15246       0.1572      -0.0281    1394.90246       0.3289      -0.0522
   1426.13720       0.1562      -0.0455    1394.88720       0.3756      -0.0157
   1426.12194       0.1046      -0.0482    1394.87194       0.3889      -0.0359
   1426.10668       0.0853      -0.0496    1394.85668       0.4025      -0.0678
   1426.09143       0.1287      -0.0353    1394.84143       0.3783      -0.0405
   1426.07617       0.2157      -0.0335    1394.82617       0.3187      -0.1288
   1426.06091       0.2232      -0.0168    1394.81091       0.3020      -0.0359
   1426.04565       0.1492      -0.0547    1394.79565       0.4395      -0.0676
   1426.03039       0.1547      -0.0203    1394.78039       0.3661      -0.0736
   1426.01513       0.1325      -0.0194    1394.76513       0.3939      -0.0317
   1425.99987       0.1718      -0.0366    1394.74987       0.3777      -0.0251
   1425.98461       0.1661      -0.0181    1394.73461       0.3910      -0.0612
   1425.96936       0.1895      -0.0342    1394.71936       0.3587      -0.0916
   1425.95410       0.1117      -0.0275    1394.70410       0.4109      -0.0583
   1425.93884       0.2371       0.0321    1394.68884       0.3908      -0.0404
   1425.92358       0.1523      -0.0545    1394.67358       0.4146      -0.0827
   1425.90832       0.1923      -0.0340    1394.65832       0.3866      -0.0549
   1425.89306       0.1183      -0.0486    1394.64306       0.3951      -0.0604
   1425.87780       0.1795      -0.0288    1394.62780       0.3917      -0.0597
   1425.86254       0.1667      -0.0565    1394.61254       0.3159      -0.0307
   1425.84729       0.2107      -0.0273    1394.59729       0.3749      -0.0495
   1425.83203       0.0790      -0.0376    1394.58203       0.3581      -0.1039
   1425.81677       0.0790      -0.0525    1394.56677       0.4083      -0.0746
   1425.80151       0.1565      -0.0540    1394.55151       0.4130      -0.1051
   1425.78625       0.1807      -0.0043    1394.53625       0.4008      -0.0592
   1425.77099       0.1215      -0.0185    1394.52099       0.4106      -0.0169
   1425.75573       0.1374      -0.0392    1394.50573       0.3874      -0.0721
   1425.74047       0.1043      -0.0438    1394.49047       0.3735      -0.0799
   1425.72521       0.1974      -0.0384    1394.47521       0.3464      -0.0585
   1425.70996       0.1306      -0.0347    1394.45996       0.3586      -0.0687
   1425.69470       0.2975      -0.0113    1394.44470       0.3484      -0.0683
   1425.67944       0.1594      -0.0508    1394.42944       0.3618      -0.0793
   1425.66418       0.1676       0.0064    1394.41418       0.3266      -0.0069
   1425.64892       0.1462      -0.0067    1394.39892       0.3507      -0.0429
